day,start_span,original_entity,lat,lng,resolved_entity
1,660,Basreh,36.1445,45.574,Basreh
2,297,Amara,45.24866,27.29244,Amara
3,201,Dawar,32.98389,44.73806,Dawar
3,511,Ctesiphon,33.08333,44.58333,Ctesiphon
3,647,Menary,48.94991,-93.90034,Menary
3,739,Diala,33.23562,74.37585,Diala River
3,1015,Basreh,36.1445,45.574,Basreh
3,1106,Baghdad,33.34058,44.40088,Baghdad
3,1430,Vienna,48.20849,16.37208,Vienna
3,1566,Vienna,48.20849,16.37208,Vienna
3,1577,Paris,48.85341,2.3488,Paris
4,319,Basreh,36.1445,45.574,Basreh
4,372,Baghdad,33.34058,44.40088,Baghdad
4,387,Paris,48.85341,2.3488,Paris
4,864,Basreh,36.1445,45.574,Basreh
4,903,Baghdad,33.34058,44.40088,Baghdad
4,1012,Vienna,48.20849,16.37208,Vienna
4,1311,Paris,48.85341,2.3488,Paris
4,1370,Paris,48.85341,2.3488,Paris
4,1622,Baghdad,33.34058,44.40088,Baghdad
4,1853,Paris,48.85341,2.3488,Paris
4,1886,Paris,48.85341,2.3488,Paris
4,2593,London,51.50853,-0.12574,London
4,3118,London,51.50853,-0.12574,London
4,3328,London,51.50853,-0.12574,London
4,3347,Paris,48.85341,2.3488,Paris
4,3476,Baghdad,33.34058,44.40088,Baghdad
4,3974,Paris,48.85341,2.3488,Paris
4,4485,Baghdad,33.34058,44.40088,Baghdad
4,4636,Bagdad,33.34058,44.40088,Baghdad
4,5233,Paris,48.85341,2.3488,Paris
5,650,France,46,2,France
5,952,Paris,48.85341,2.3488,Paris
5,1011,Marseilles,43.29695,5.38107,Marseilles
5,1024,Baghdad,33.34058,44.40088,Baghdad
5,1474,France,46,2,France
6,302,Paris,48.85341,2.3488,Paris
6,387,Baghdad,33.34058,44.40088,Baghdad
6,557,London,51.50853,-0.12574,London
6,615,Paris,48.85341,2.3488,Paris
6,661,Baghdad,33.34058,44.40088,Baghdad
7,435,Paris,48.85341,2.3488,Paris
7,608,France,46,2,France
8,326,Paris,48.85341,2.3488,Paris
8,565,Baghdad,33.34058,44.40088,Baghdad
8,660,Bagdad,33.34058,44.40088,Baghdad
8,1055,Baghdad,33.34058,44.40088,Baghdad
8,1713,London,51.50853,-0.12574,London
8,1871,London,51.50853,-0.12574,London
9,76,Baghdad,33.34058,44.40088,Baghdad
9,87,Basrah,30.50852,47.7804,Basreh
9,255,Baghdad,33.34058,44.40088,Baghdad
