original_entity	geonames	fcode	lat	lng
Sheikh Saad	geonames:172591	SY	32.83548	36.03716
Polus	geonames:641071	FI	64.41667	24.7
Mehdi	geonames:124377	IR	31.81028	48.855
Baghdadieh				
Ledje	geonames:173573	SY	32.93481	36.385
Okes	geonames:303614	TR	38.22549	31.54934
Saka	geonames:446983	IQ	36.80756	44.17751
Ledje	geonames:173573	SY	32.93481	36.385
Ctesiphon	geonames:90287	IQ	33.08333	44.58333
Bostan	geonames:4930956	US	42.35843	-71.05977
Ctesiphon	geonames:90287	IQ	33.08333	44.58333
Serpos	geonames:2510941	ES	37.81195	-6.79419
Alexandria	geonames:361059	EG	31	29.75
Marie Joseph	geonames:3721327	HT	19.16667	-72.31667
Carmes	geonames:5492165	US	35.89365	-105.3364
Passy	geonames:2988394	FR	48.8637	2.2769
Carmes	geonames:5492165	US	35.89365	-105.3364
Passy	geonames:2988394	FR	48.8637	2.2769
Alexandre	geonames:1053227	MZ	-24.80667	33.20583
Fahama	geonames:2549056	MA	35.85266	-5.37843
Kelek	geonames:96833	IQ	36.27798	43.67065
Mons	geonames:2993207	BE	50.63333	3.11667
Tarascon	geonames:2973393	FR	43.80583	4.66028
Alexandre	geonames:1053227	MZ	-24.80667	33.20583
Decembre	geonames:3726920	HT	18.76667	-71.96667
Ferdinand	geonames:729114	BG	43.4125	23.225
Bagdad	geonames:98182	IQ	33.34058	44.40088
America	geonames:3568983	CU	20.3	-76.2
Basreh	geonames:6686495	IR	36.1445	45.574
Diala	geonames:1432221	IN	33.23562	74.37585
Khalifah	geonames:73887	YE	14.88065	43.31353
Ctesiphon	geonames:90287	IQ	33.08333	44.58333
Bushire	geonames:139817	IR	28.96887	50.83657
Mirza	geonames:1133202	AF	33.13746	68.76806
Ali Khan	geonames:1148946	AF	33.20908	68.76761
Agha Khan	geonames:1341856	PK	30.83706	66.86635
Basreh	geonames:6686495	IR	36.1445	45.574
Baghdadieh				
Shadi	geonames:1448919	AF	33.37942	67.99227
Khalifah	geonames:73887	YE	14.88065	43.31353
Okes	geonames:303614	TR	38.22549	31.54934
Sheikh Saad	geonames:172591	SY	32.83548	36.03716
Basreh	geonames:6686495	IR	36.1445	45.574
Belem	geonames:3405870	BR	-1.45583	-48.50444
Marie Joseph	geonames:3721327	HT	19.16667	-72.31667
Khalifah	geonames:73887	YE	14.88065	43.31353
Ajil	geonames:174126	SY	36.17794	36.92776
Khalifah	geonames:73887	YE	14.88065	43.31353
Blance				
Marie Joseph	geonames:3721327	HT	19.16667	-72.31667
Berlin	geonames:2950159	DE	52.52437	13.41053
Belem	geonames:3405870	BR	-1.45583	-48.50444
London	geonames:2643743	GB	51.50853	-0.12574
Simla	geonames:1256237	IN	31.10442	77.16662
