day,start_span,original_entity,lat,lng,resolved_entity
100,66,Baghdad,33.34058,44.40088,Baghdad
100,324,river,45.75278,0.36194,River
100,683,Fort,29.52749,-95.77089,Fort
101,91,Memlah,34.30101,70.10191,Memlah
101,122,Aboo,6.1595,-1.76354,Aboo
103,377,Dock,43.3898,-71.06506,Dock
104,784,Baghdad,33.34058,44.40088,Baghdad
104,1414,London,51.50853,-0.12574,London
104,1468,Baghdad,33.34058,44.40088,Baghdad
105,911,Baghdad,33.34058,44.40088,Baghdad
105,1092,Persia,27.0,51.0,Persia
105,1308,Coal,40.78897,-76.55885,Coal
105,1328,Amara,11.5,38.5,Amara
107,65,Coot,51.16679,-56.8148,Coot
107,745,England,52.16045,-0.70312,England
108,144,Swera,35.63619,45.77634,Swera
108,750,Baghdad,33.34058,44.40088,Baghdad
108,1408,Vienna,48.20849,16.37208,Vienna
110,480,Sterling,56.11903,-3.93682,Sterling
111,177,Garden,45.7747,-86.5507,Garden
112,414,Vienna,48.20849,16.37208,Vienna
113,260,Raining,32.48186,-84.98931,Raining
114,921,Moon,49.20666,-1.04799,Moon
116,382,Passengers,47.62769,-53.70091,Passengers
117,964,Baghdad,33.34058,44.40088,Baghdad
118,282,Baghdad,33.34058,44.40088,Baghdad
118,747,Amara,11.5,38.5,Amara
119,499,Coot,51.16679,-56.8148,Coot
120,182,Coot,51.16679,-56.8148,Coot
120,367,Fort,29.52749,-95.77089,Fort
121,286,River,45.75278,0.36194,River
121,406,Light,-34.40981,138.84367,Light
121,504,Baghdad,33.34058,44.40088,Baghdad
121,771,Lebanon,33.83333,35.83333,Lebanon
121,2390,Light,-34.40981,138.84367,Light
124,136,Paris,48.85341,2.3488,Paris
124,572,Paris,48.85341,2.3488,Paris
124,738,England,52.16045,-0.70312,England
124,994,Egypt,27.0,30.0,Egypt
128,214,River,45.75278,0.36194,River
128,581,Fort,29.52749,-95.77089,Fort
128,778,Coot,51.16679,-56.8148,Coot
129,58,Coot,51.16679,-56.8148,Coot
130,756,London,51.50853,-0.12574,London
131,1518,Baghdad,33.34058,44.40088,Baghdad
132,649,Philadelphia,39.95238,-75.16362,Philadelphia
132,918,London,51.50853,-0.12574,London
132,1311,River,45.75278,0.36194,River
134,79,Coot,51.16679,-56.8148,Coot
134,465,Baghdad,33.34058,44.40088,Baghdad
134,561,River,45.75278,0.36194,River
134,852,France,46.0,2.0,France
135,126,Fort,29.52749,-95.77089,Fort
135,381,Rive,35.66063,-83.58469,Rive
135,1270,Vienna,48.20849,16.37208,Vienna
135,1535,Baghdad,33.34058,44.40088,Baghdad
136,376,Baghdad,33.34058,44.40088,Baghdad
137,572,Paris,48.85341,2.3488,Paris
139,153,River,45.75278,0.36194,River
13,649,Aboo,6.1595,-1.76354,Aboo
140,297,Baghdad,33.34058,44.40088,Baghdad
140,1208,Baghdad,33.34058,44.40088,Baghdad
141,1111,Fort,29.52749,-95.77089,Fort
141,1443,Paris,48.85341,2.3488,Paris
144,1050,Baghdad,33.34058,44.40088,Baghdad
144,1136,France,46.0,2.0,France
144,1184,India,22.0,79.0,India
144,1192,Egypt,27.0,30.0,Egypt
145,34,Light,-34.40981,138.84367,Light
145,625,Baghdad,33.34058,44.40088,Baghdad
145,787,Erly,40.40897,-77.33888,Erly
146,468,River,45.75278,0.36194,River
146,558,Passengers,47.62769,-53.70091,Passengers
146,897,Captain,6.15261,-57.95504,Captain
148,48,River,45.75278,0.36194,River
148,84,Coot,51.16679,-56.8148,Coot
149,92,River,45.75278,0.36194,River
149,364,Fort,29.52749,-95.77089,Fort
14,535,Vienna,48.20849,16.37208,Vienna
152,443,St.,58.73488,5.64929,St
154,162,Vienna,48.20849,16.37208,Vienna
155,258,Baghdad,33.34058,44.40088,Baghdad
