resolved_entity,geonames,fcode,lat,lng
Basreh,geonames:6686495,IR,36.1445,45.574
Diala,geonames:1432221,IN,33.23562,74.37585
Ctesiphon,geonames:90287,IQ,33.08333,44.58333
Jubeil,geonames:373300,SD,10.20364,30.74764
Baghdadieh,,,,
Azizieh,,,,
Khalifah,geonames:73887,YE,14.88065,43.31353
Okes,geonames:303614,TR,38.22549,31.54934
Baluchistan,geonames:1183606,PK,28.47849,65.64355
Kilwa,geonames:157385,TZ,-5.53333,37.51667
Aboo,geonames:2301344,GH,6.1595,-1.76354
Sedra,geonames:3207161,BA,43.89252,18.6147
Blosse,geonames:2781681,AT,47.18333,10.85
Marseilles,geonames:2995469,FR,43.29695,5.38107
Basreh,geonames:6686495,IR,36.1445,45.574
Strick,geonames:6292119,CH,47.34061,8.94654
Beluchistan,geonames:1161739,AF,28.0,63.0
Rafi,geonames:118998,IR,31.5957,47.8946
Marseilles,geonames:2995469,FR,43.29695,5.38107
Beluchistan,geonames:1161739,AF,28.0,63.0
Beluchistan,geonames:1161739,AF,28.0,63.0
Beluchistan,geonames:1161739,AF,28.0,63.0
Jeffreys,geonames:4392424,US,38.92806,-94.53134
Baghdad,geonames:98182,IQ,33.34058,44.40088
Beluchistan,geonames:1161739,AF,28.0,63.0
Beluchistan,geonames:1161739,AF,28.0,63.0
Beluchistan,geonames:1161739,AF,28.0,63.0
Marseilles,geonames:2995469,FR,43.29695,5.38107
Beluchistan,geonames:1161739,AF,28.0,63.0
Khalifah,geonames:73887,YE,14.88065,43.31353
Khalifah,geonames:73887,YE,14.88065,43.31353
England,geonames:6269131,GB,52.16045,-0.70312
Azizieh,,,,
Swera,geonames:91225,IQ,36.37456,44.57847
Safi,geonames:2537881,MA,32.29939,-9.23718
Ctesiphon,geonames:90287,IQ,33.08333,44.58333
Ctesiphon,geonames:90287,IQ,33.08333,44.58333
Diala,geonames:1432221,IN,33.23562,74.37585
Cairo,geonames:360630,EG,30.06263,31.24967
Vienna,geonames:2761369,AT,48.20849,16.37208
Tantons,,,,
Mily,geonames:3070624,CZ,50.23267,13.86704
Ronet,geonames:2787781,BE,50.45843,4.83289
Ctesiphon,geonames:90287,IQ,33.08333,44.58333
Diala,geonames:1432221,IN,33.23562,74.37585
Custom House,geonames:12048335,GB,51.51208,0.03521
Ulto,geonames:477685,RU,46.21338,39.58851
Baghdad,geonames:98182,IQ,33.34058,44.40088
Deir,geonames:361838,EG,25.33503,32.58179
Serai,geonames:1390616,PK,34.54894,72.65992
Vienna,geonames:2761369,AT,48.20849,16.37208
Alexandretta,geonames:311111,TR,36.58718,36.17347
Basreh,geonames:6686495,IR,36.1445,45.574
Diala,geonames:1432221,IN,33.23562,74.37585
Ctesiphon,geonames:90287,IQ,33.08333,44.58333
Cumberland,geonames:5221703,US,41.96677,-71.43284
Basreh,geonames:6686495,IR,36.1445,45.574
Kass,geonames:1174680,PK,34.52889,72.71601
Kass,geonames:1174680,PK,34.52889,72.71601
Toma,geonames:3492339,DO,19.34481,-71.29552
Bahi,geonames:10715790,IN,32.67049,76.04708
Azizieh,,,,
Swera,geonames:91225,IQ,36.37456,44.57847
Blosse,geonames:2781681,AT,47.18333,10.85
Oke,geonames:2343697,NG,5.72954,5.89616
Mons,geonames:6076387,CA,48.78351,-83.13313
De,geonames:4142224,US,39.00039,-75.49992
Tellow,geonames:404796,IR,35.7731,51.6351
Hai,geonames:2386160,CF,6.32715,16.20066
Sheikh Saad,geonames:172591,SY,32.83548,36.03716
Satur,geonames:91450,IQ,36.18042,43.79816
Khandala,geonames:10519356,IN,20.63751,79.83955
Khandala,geonames:10519356,IN,20.63751,79.83955
Baluchistan,geonames:1183606,PK,28.47849,65.64355
Ismail Beg,geonames:95398,IQ,35.74712,44.51734
Basreh,geonames:6686495,IR,36.1445,45.574
Baghdad,geonames:98182,IQ,33.34058,44.40088
Ismail Beg,geonames:95398,IQ,35.74712,44.51734
Baghdad,geonames:98182,IQ,33.34058,44.40088
Kass,geonames:1174680,PK,34.52889,72.71601
Toma,geonames:3492339,DO,19.34481,-71.29552
Bahi,geonames:10715790,IN,32.67049,76.04708
Ismail Beg,geonames:95398,IQ,35.74712,44.51734
Sheikh Saad,geonames:172591,SY,32.83548,36.03716
Kass,geonames:1174680,PK,34.52889,72.71601
Azizieh,,,,
Baghdadieh,,,,
Ctesiphon,geonames:90287,IQ,33.08333,44.58333
Diala,geonames:1432221,IN,33.23562,74.37585
Baghdad,geonames:98182,IQ,33.34058,44.40088
Lebanon,geonames:272103,LB,33.83333,35.83333
Blosse,geonames:2781681,AT,47.18333,10.85
Oke,geonames:2343697,NG,5.72954,5.89616
Oke,geonames:2343697,NG,5.72954,5.89616
Ghee,,,,
Okes,geonames:303614,TR,38.22549,31.54934
Oke,geonames:2343697,NG,5.72954,5.89616
Jany,geonames:95252,IQ,35.35363,44.79273
Satur,geonames:91450,IQ,36.18042,43.79816
Seraf,geonames:2425717,TD,11.5039,19.2627
Blosse,geonames:2781681,AT,47.18333,10.85
Coll,geonames:3124819,ES,42.47283,0.7709
England,geonames:6269131,GB,52.16045,-0.70312
Kurrachi,geonames:1174872,PK,24.8608,67.0104
Egypt,geonames:357994,EG,27.0,30.0
Ghazala,geonames:356633,EG,30.87051,31.6023
Kher,geonames:10716683,IN,32.50837,76.02595
Okes,geonames:303614,TR,38.22549,31.54934
Ulto,geonames:477685,RU,46.21338,39.58851
Ulto,geonames:477685,RU,46.21338,39.58851
Basreh,geonames:6686495,IR,36.1445,45.574
Diala,geonames:1432221,IN,33.23562,74.37585
Diala,geonames:1432221,IN,33.23562,74.37585
Baghdadieh,,,,
Okes,geonames:303614,TR,38.22549,31.54934
Tripoli,geonames:266826,LB,34.43352,35.84415
Patna,geonames:1260086,IN,25.59408,85.13563
Marseilles,geonames:2995469,FR,43.29695,5.38107
Basreh,geonames:6686495,IR,36.1445,45.574
Mond,geonames:10153796,IN,30.98352,77.43438
Wali,geonames:1121776,AF,32.32328,66.18322
Blosse,geonames:2781681,AT,47.18333,10.85
Waly,geonames:1121776,AF,32.32328,66.18322
Atta,geonames:408592,YE,13.96804,44.76463
Allah,geonames:12064148,YE,14.53434,43.67082
Ronet,geonames:2787781,BE,50.45843,4.83289
Wali,geonames:1121776,AF,32.32328,66.18322
Tapo,geonames:2322405,NG,8.35553,4.4635
Waly,geonames:1121776,AF,32.32328,66.18322
Basreh,geonames:6686495,IR,36.1445,45.574
Baghdad,geonames:98182,IQ,33.34058,44.40088
Wali,geonames:1121776,AF,32.32328,66.18322
Philadelphia,geonames:4560349,US,39.95238,-75.16362
Bushire,geonames:139817,IR,28.96887,50.83657
Wali,geonames:1121776,AF,32.32328,66.18322
Waly,geonames:1121776,AF,32.32328,66.18322
Ghee,,,,
Wali,geonames:1121776,AF,32.32328,66.18322
Sheikh Saad,geonames:172591,SY,32.83548,36.03716
Baghdad,geonames:98182,IQ,33.34058,44.40088
France,geonames:3017382,FR,46.0,2.0
Azizieh,,,,
Baghdadieh,,,,
Swerah,,,,
Swera,geonames:91225,IQ,36.37456,44.57847
Ctesiphon,geonames:90287,IQ,33.08333,44.58333
Diala,geonames:1432221,IN,33.23562,74.37585
Sakka,geonames:164960,SY,33.4377,36.46693
Ulto,geonames:477685,RU,46.21338,39.58851
Ulto,geonames:477685,RU,46.21338,39.58851
Effie,geonames:4804888,US,38.09453,-82.50821
Cairo,geonames:360630,EG,30.06263,31.24967
Deir,geonames:361838,EG,25.33503,32.58179
Damascus,geonames:170654,SY,33.5102,36.29128
Kher,geonames:10716683,IN,32.50837,76.02595
Europe,geonames:6255148,,48.69096,9.14062
Antolian,,,,
Khalifah,geonames:73887,YE,14.88065,43.31353
Kurachi,geonames:1465197,AF,36.33935,66.78822
Basreh,geonames:6686495,IR,36.1445,45.574
Okes,geonames:303614,TR,38.22549,31.54934
Diala,geonames:1432221,IN,33.23562,74.37585
Ctesiphon,geonames:90287,IQ,33.08333,44.58333
Forbes,geonames:5955361,CA,45.43333,-75.63333
Baghdadieh,,,,
