original_entity,geonames,fcode,lat,lng,resolved_entity
Sheikh Saad,geonames:172591,SY,32.83548,36.03716,Sheikh Saad
Polus,geonames:641071,FI,64.41667,24.7,Polus
Mehdi,geonames:124377,IR,31.81028,48.855,Mehdi
Baghdadieh,,,,,Baghdadieh
Ledje,geonames:173573,SY,32.93481,36.385,Ledje
Okes,geonames:303614,TR,38.22549,31.54934,Okes
Saka,geonames:446983,IQ,36.80756,44.17751,Saka
Ledje,geonames:173573,SY,32.93481,36.385,Ledje
Ctesiphon,geonames:90287,IQ,33.08333,44.58333,Ctesiphon
Bostan,geonames:4930956,US,42.35843,-71.05977,Bostan
Ctesiphon,geonames:90287,IQ,33.08333,44.58333,Ctesiphon
Serpos,geonames:2510941,ES,37.81195,-6.79419,Serpos
Alexandria,geonames:361059,EG,31.0,29.75,Alexandretta
Marie Joseph,geonames:3721327,HT,19.16667,-72.31667,Marie Joseph
Carmes,geonames:5492165,US,35.89365,-105.3364,Carmes
Passy,geonames:2988394,FR,48.8637,2.2769,Passy
Carmes,geonames:5492165,US,35.89365,-105.3364,Carmes
Passy,geonames:2988394,FR,48.8637,2.2769,Passy
Alexandre,geonames:1053227,MZ,-24.80667,33.20583,Alexandre
Fahama,geonames:2549056,MA,35.85266,-5.37843,Fahama
Kelek,geonames:96833,IQ,36.27798,43.67065,Kelek
Mons,geonames:2993207,BE,50.63333,3.11667,Mons
Tarascon,geonames:2973393,FR,43.80583,4.66028,Tarascon
Alexandre,geonames:1053227,MZ,-24.80667,33.20583,Alexandre
Decembre,geonames:3726920,HT,18.76667,-71.96667,Decembre
Ferdinand,geonames:729114,BG,43.4125,23.225,Ferdinand
Bagdad,geonames:98182,IQ,33.34058,44.40088,Baghdad
America,geonames:3568983,CU,20.3,-76.2,America
Basreh,geonames:6686495,IR,36.1445,45.574,Basreh
Diala,geonames:1432221,IN,33.23562,74.37585,Diala River
Khalifah,geonames:73887,YE,14.88065,43.31353,Khalifah
Ctesiphon,geonames:90287,IQ,33.08333,44.58333,Ctesiphon
Bushire,geonames:139817,IR,28.96887,50.83657,Bushire
Mirza,geonames:1133202,AF,33.13746,68.76806,Mirza
Ali Khan,geonames:1148946,AF,33.20908,68.76761,Ali Khan
Agha Khan,geonames:1341856,PK,30.83706,66.86635,Agha Khan
Basreh,geonames:6686495,IR,36.1445,45.574,Basreh
Baghdadieh,,,,,Baghdadieh
Shadi,geonames:1448919,AF,33.37942,67.99227,Shadi
Khalifah,geonames:73887,YE,14.88065,43.31353,Khalifah
Okes,geonames:303614,TR,38.22549,31.54934,Okes
